id,query,keyword,vector,hybrid,keyword_ms,vector_ms,hybrid_ms,keyword_hits,vector_hits,hybrid_hits
Q01,公司年假有几天？,Y,Y,Y,47.5,2093.2,2020.3,3,3,3
Q02,怎么申请年假？,Y,Y,Y,17.0,1914.2,2253.0,3,3,3
Q03,迟到会有什么处罚？,Y,Y,Y,9.1,2418.8,2056.7,3,3,3
Q04,事假和年假有什么区别？,Y,Y,Y,17.7,2042.3,2100.2,3,3,3
Q05,去北京出差，住宿标准是多少？,N,N,N,9.2,2044.7,2051.5,3,3,3
Q06,出差坐飞机有什么规定？,N,N,N,20.1,2056.6,2219.4,3,3,3
Q07,报销需要哪些材料？,N,N,N,8.7,2164.7,2233.1,3,3,3
Q08,系统支持哪几种检索方式？,N,N,N,25.3,2129.6,2031.5,3,3,3
Q09,混合检索的融合公式是什么？,N,N,N,21.2,2213.6,2145.0,3,3,3
Q10,Embedding API 失效了怎么办？,N,N,N,24.2,2101.7,2320.7,3,3,3
