id,query,keyword,vector,hybrid,keyword_ms,vector_ms,hybrid_ms,keyword_hits,vector_hits,hybrid_hits
Q01,公司年假有几天？,Y,N,Y,8.9,1903.1,1817.3,3,0,3
Q02,怎么申请年假？,Y,N,Y,18.0,1932.2,1790.3,3,0,3
Q03,迟到会有什么处罚？,Y,N,Y,31.0,1823.4,2065.0,3,0,3
Q04,事假和年假有什么区别？,Y,N,Y,18.2,1791.9,2219.0,3,0,3
Q05,去北京出差，住宿标准是多少？,Y,N,Y,18.5,1830.5,2177.0,3,0,3
Q06,出差坐飞机有什么规定？,Y,N,Y,26.7,2690.7,1943.3,3,0,3
Q07,报销需要哪些材料？,Y,N,Y,6.7,2234.9,1962.6,3,0,3
Q08,系统支持哪几种检索方式？,Y,N,Y,14.9,2410.0,2469.5,3,0,3
Q09,混合检索的融合公式是什么？,Y,N,Y,19.6,2137.6,2026.6,3,0,3
Q10,Embedding API 失效了怎么办？,Y,N,Y,8.2,2109.3,2520.3,3,0,3
