id,query,keyword,vector,hybrid,keyword_ms,vector_ms,hybrid_ms,keyword_hits,vector_hits,hybrid_hits
Q01,公司年假有几天？,Y,Y,Y,449.5,2517.1,1858.0,3,3,3
Q02,怎么申请年假？,Y,Y,Y,26.1,1927.2,1876.0,3,3,3
Q03,迟到会有什么处罚？,Y,Y,Y,19.8,1909.2,2036.3,3,3,3
Q04,事假和年假有什么区别？,Y,Y,Y,12.0,2140.7,2011.4,3,3,3
Q05,去北京出差，住宿标准是多少？,N,N,N,26.2,1965.9,1948.6,3,3,3
Q06,出差坐飞机有什么规定？,N,N,N,11.0,2049.0,2223.1,3,3,3
Q07,报销需要哪些材料？,N,N,N,35.7,2179.9,2260.1,3,3,3
Q08,系统支持哪几种检索方式？,N,N,N,12.1,2056.6,2351.2,3,3,3
Q09,混合检索的融合公式是什么？,N,N,N,32.2,2091.8,2132.0,3,3,3
Q10,Embedding API 失效了怎么办？,N,N,N,11.5,2380.0,2420.5,3,3,3
